word_us,word_length,n_phon,nonword,n_phon_nw,
abacus,6,6,aborus,6,
abalone,7,7,abolana,7,
abandon,7,7,abondin,7,
abbreviate,10,8,abtrofiase,9,
abbreviation,12,10,abbreriotion,10,
abdomen,7,7,abdumin,7,
abdominal,9,9,abfeminar,9,
abduct,6,6,abvict,6,
abide,5,4,asade,4,
ability,7,7,amoriny,7,
ablaze,6,5,abloit,5,
able,4,4,abro,4,
abnormal,8,8,abnardal,8,
abnormality,11,11,abnorcaloty,10,
abnormally,10,9,abtongally,9,
aboard,6,5,abouse,4,
abolish,7,6,abilish,6,
abolition,9,8,aburitive,8,
abolitionist,12,11,abofitialist,12,
abominable,10,10,abomogable,10,
abortion,8,7,aburtive,7,
abound,6,5,abeash,4,
about,5,4,apoot,4,
above,5,4,abert,5,
abrasive,8,7,abrosave,7,
abreast,7,6,abrouts,6,
abroad,6,5,atroud,5,
abrupt,6,6,abript,6,
absence,7,6,agbonce,6,
absent,6,6,agbent,6,
absentee,8,7,absintoo,7,
absentminded,12,12,absontmenden,12,
absolute,8,7,absulate,8,
absolutely,10,10,ablocurnmy,10,
absorb,6,6,aypent,5,
abstain,7,6,agstorn,7,
abstract,8,8,adstrome,7,
abstracts,9,9,adstroles,8,
absurd,6,6,adsord,6,
abundant,8,8,abindart,8,
abuse,5,5,amose,4,
academic,8,8,acugapid,8,
academy,7,7,ametegy,7,
accelerate,10,9,acmilerase,9,
accent,6,6,aurent,5,
accept,6,6,accube,5,
acceptance,10,9,acciptarce,8,
access,6,5,addess,4,
accessible,10,9,acmossibly,9,
accessory,9,8,acmissony,8,
accident,8,8,accodert,7,
accidental,10,9,acnidencal,11,
acclamation,11,9,acbranative,10,
accommodate,11,8,accorlomate,9,
accommodation,13,10,accomrogation,11,
accompaniment,13,12,accombarimics,12,
accomplice,10,8,accorplace,8,
accomplish,10,8,accorplush,8,
accord,6,5,audord,5,
accordance,10,7,accardarce,8,
accordion,9,8,accurrian,7,
account,7,5,aybount,5,
accountant,10,8,accourtent,8,
accumulate,10,10,acmacunate,10,
accuracy,8,8,actunary,9,
accurate,8,7,accorale,6,
accursed,8,7,accarsed,6,
accusation,10,9,acrabative,9,
accuse,6,5,absuse,6,
accuser,7,7,accaser,6,
accustom,8,7,accastim,7,
ace,3,2,ose,2,
ache,4,2,arve,3,
achieve,7,4,acleave,5,
acid,4,4,afin,4,
acidic,6,6,acudin,6,
acknowledge,11,7,acknouladge,7,
acne,4,4,adme,4,
acorn,5,5,acarn,5,
acoustic,8,7,acrastin,8,
acquaint,8,6,abquotch,6,
acquire,7,6,adtrite,6,
acquisition,11,9,actriditive,10,
acre,4,4,asco,4,
acrobat,7,7,acrubit,7,
acrobatic,9,9,acribanic,9,
acrobatics,10,10,acribanive,9,
across,6,5,afliss,5,
acrylic,7,7,acrolin,7,
act,3,3,arf,3,
action,6,5,abcoon,5,
activate,8,7,actovale,7,
active,6,5,abtain,5,
activity,8,8,actiliry,8,
actor,5,5,abton,5,
actual,6,6,atduac,6,
actuality,9,10,actuority,10,
actually,8,7,actoarry,7,
acute,5,5,amote,4,
adamant,7,7,adomint,7,
adapt,5,5,agaft,5,
adaptability,12,12,adaptobalory,12,
adaptation,10,9,adaslative,9,
add,3,2,jadd,3,
addict,6,5,ambict,6,
addiction,9,7,addirtoon,7,
addition,8,6,addution,7,
additional,10,8,addoleanal,8,
additive,8,6,addutave,6,
address,7,5,affress,5,
addressee,9,6,addrissoo,6,
adequate,8,7,adequite,7,
adjacent,8,7,adjocant,7,
adjective,9,7,adjictire,8,
adjourn,7,5,apnearn,6,
adjust,6,5,abnost,6,
administer,10,10,admanittan,9,
administrative,14,13,adminustrotion,13,
administrator,13,13,adminustrotar,13,
admirable,9,9,adricably,9,
admiral,7,7,admorel,7,
admiration,10,9,adnicative,9,
admire,6,6,abmite,5,
admirer,7,8,adminer,7,
admissible,10,9,admiffibly,9,
admission,9,7,admussoon,7,
admit,5,5,abrot,5,
admittance,10,7,admuttense,8,
adolescence,11,9,adolindence,10,
adopt,5,5,adait,4,
adoptive,8,7,adiptare,7,
adorable,8,8,adanagle,8,
adore,5,5,adose,4,
adrift,6,6,ascoft,6,
adult,5,5,agolt,5,
adultery,8,8,adormery,8,
adulthood,9,8,adoltheed,8,
advance,7,6,aphance,6,
advantage,9,8,advontare,8,
advantageous,12,10,adranmagauge,10,
adventure,9,8,advintude,9,
adverb,6,6,abcorb,6,
adverse,7,6,abvorse,6,
adversity,9,9,admerliry,9,
advertise,9,8,advortide,8,
advertisement,13,12,adpertainlent,12,
advertising,11,10,adpercasive,10,
advice,6,5,apwice,5,
advisable,9,9,advosably,9,
advise,6,5,abnose,5,
advisement,10,9,advasemint,9,
advisory,8,8,adridomy,8,
advocate,8,7,advucale,7,
aerial,6,5,aeroat,5,
aerobic,7,6,aeribis,6,
aeronautics,11,9,aeronailize,8,
aerosol,7,6,aeisil,5,
aerospace,9,7,aeispade,6,
aesthetic,9,7,aethitin,6,
afar,4,4,ahor,4,
affair,6,4,affeon,5,
affect,6,5,afforn,5,
affection,9,7,afficlion,8,
affiliate,9,7,afroliase,8,
affinity,8,7,afranily,8,
affirm,6,5,affape,4,
affirmation,11,9,affigrative,9,
affirmative,11,9,affintatics,10,
afford,6,5,affese,4,
afghan,6,5,aubran,5,
aflame,6,5,aflime,5,
afloat,6,5,aprout,5,
afraid,6,5,afroid,5,
African,7,7,Afrocap,7,
afterbirth,10,9,aftenbarth,9,
aftermath,9,8,aftenmith,8,
afternoon,9,8,aftennoop,8,
afterthought,12,8,aftenthearth,9,
afterward,9,9,aftenwarm,9,
age,3,2,afe,2,
aged,4,4,athed,3,
ageless,7,5,almness,6,
agency,6,6,agindy,6,
agenda,6,6,aginba,6,
agent,5,5,agish,4,
aggravate,9,7,aggrovale,7,
aggravation,11,9,aggrosative,9,
aggregation,11,9,aggrodative,9,
aggression,10,7,aggrossive,7,
agile,5,4,abirt,5,
agility,7,7,amarily,7,
agitate,7,6,agotake,6,
agitation,9,8,agirative,8,
agitator,8,8,agiramor,8,
ago,3,3,ada,3,
agonize,7,6,aginaze,6,
agony,5,5,agiry,5,
agree,5,4,aglie,4,
agreement,9,8,aggroomint,8,
agricultural,12,12,agrilipteral,12,
agriculture,11,10,agrocurtude,11,
ahead,5,4,ahood,4,
ahoy,4,3,ahap,4,
aid,3,2,arb,3,
ail,3,2,aeng,2,
ailment,7,6,ashdent,6,
aim,3,2,aith,2,
air,3,2,aif,2,
aircraft,8,7,ashspair,5,
airlift,7,6,ainlink,6,
airline,7,5,ailtine,5,
airliner,8,7,airluner,7,
airmail,7,5,ainstone,6,
airplane,8,6,ashpline,6,
aisle,5,2,aip,2,
ajar,4,4,ajor,4,
alarm,5,5,alorg,5,
albatross,9,8,albitruss,8,
albino,6,6,albuna,6,
album,5,5,amrum,5,
alcohol,7,7,alcuhil,7,
alcoholic,9,9,alcapolit,9,
alcoholism,10,11,alcojusize,9,
alert,5,5,aterd,5,
algae,5,4,alnoe,4,
algebra,7,7,algobru,7,
algebraic,9,9,almebroid,9,
alias,5,5,avios,5,
alibi,5,5,alobu,5,
alien,5,5,adion,5,
alienable,9,9,aleadably,8,
alienate,8,7,alionake,7,
alienation,10,9,alearative,8,
alike,5,4,ative,4,
alive,5,4,alyme,4,
allege,6,4,allind,5,
allegedly,9,8,allageppy,7,
allegiance,10,7,allopiance,8,
allergic,8,7,allorgim,7,
allergy,7,6,allordy,6,
alley,5,3,attey,3,
alliance,8,6,astianes,7,
allied,6,4,alloon,4,
alligator,9,8,almibator,9,
alliteration,12,10,allitenative,10,
allocate,8,6,allucale,6,
allow,5,3,allim,4,
alloy,5,3,appoy,3,
ally,4,3,asty,4,
almighty,8,6,almoughy,5,
almond,6,6,amfond,6,
alone,5,4,atore,4,
along,5,4,arang,4,
alongside,9,7,alingsade,7,
aloud,5,4,atood,4,
alphabet,8,7,alphobit,7,
alphabetic,10,9,altrufitid,10,
alphabetize,11,9,alphobitase,9,
alpine,6,5,aspone,5,
altar,5,5,adtor,5,
alteration,10,9,alderitive,9,
alternate,9,8,altornale,9,
alternation,11,10,aldermitive,10,
alternative,11,10,alterdation,10,
altitude,8,8,altotade,7,
alto,4,4,amlo,4,
altogether,10,9,almogerner,10,
aluminum,8,8,alucaniop,9,
amateur,7,6,amoteud,7,
amateurish,10,9,amatierine,8,
