,word_us,word_length,n_phon,nonword,n_phon_nw,Unnamed: 5,ipa_words,ipa_nonwords
0,abacus,6,6,aborus,6,,æbækəs,ɐbɔːɹəs
1,abalone,7,7,abolana,7,,ɐbæloʊn,ɐbəlɑːnə
2,abandon,7,7,abondin,7,,ɐbændən,ɐbɑːndɪn
3,abbreviate,10,8,abtrofiase,9,,ɐbɹiːvɪeɪt,ɐbtɹoʊfɪeɪs
4,abbreviation,12,10,abbreriotion,10,,ɐbɹiːvɪeɪʃən,æbɹɪɹioʊʃən
5,abdomen,7,7,abdumin,7,,æbdəmən,æbdʒuːmɪn
6,abdominal,9,9,abfeminar,9,,æbdɑːmɪnəl,ɐbfɛmɪnɑːɹ
7,abduct,6,6,abvict,6,,ɐbdʌkt,ɐbvɪkt
8,abide,5,4,asade,4,,ɐbaɪd,ɐseɪd
9,ability,7,7,amoriny,7,,ɐbɪləɾi,æmɔːɹɪni
10,ablaze,6,5,abloit,5,,ɐbleɪz,ɐblɔɪt
11,able,4,4,abro,4,,eɪbəl,ɐbɹoʊ
12,abnormal,8,8,abnardal,8,,ɐbnɔːɹməl,ɐbnɑːɹdəl
13,abnormality,11,11,abnorcaloty,10,,ɐbnɔːɹmælᵻɾi,ɐbnɔːɹkɐlɑːɾi
14,abnormally,10,9,abtongally,9,,ɐbnɔːɹməli,ɐbtɑːŋɡəli
15,aboard,6,5,abouse,4,,ɐbɔːɹd,ɐbaʊs
16,abolish,7,6,abilish,6,,ɐbɑːlɪʃ,æbɪlɪʃ
17,abolition,9,8,aburitive,8,,æbəlɪʃən,ɐbɛɹᵻtɪv
18,abolitionist,12,11,abofitialist,12,,æbəlɪʃənɪst,ɐbɑːfɪʃəlɪst
19,abominable,10,10,abomogable,10,,ɐbɑːmɪnəbəl,ɐbɑːmoʊdʒəbəl
20,abortion,8,7,aburtive,7,,ɐbɔːɹʃən,ɐbɜːɾɪv
21,abound,6,5,abeash,4,,ɐbaʊnd,ɐbiːʃ
22,about,5,4,apoot,4,,ɐbaʊt,ɐpuːt
23,above,5,4,abert,5,,əbʌv,ɐbɜːt
24,abrasive,8,7,abrosave,7,,ɐbɹeɪsɪv,ɐbɹɑːseɪv
25,abreast,7,6,abrouts,6,,ɐbɹɛst,ɐbɹaʊts
26,abroad,6,5,atroud,5,,ɐbɹɔːd,ætɹaʊd
27,abrupt,6,6,abript,6,,ɐbɹʌpt,ɐbɹɪpt
28,absence,7,6,agbonce,6,,æbsəns,æɡbɑːns
29,absent,6,6,agbent,6,,æbsənt,æɡbənt
30,absentee,8,7,absintoo,7,,æbsəntiː,ɐbsɪntuː
31,absentminded,12,12,absontmenden,12,,æbsəntmaɪndᵻd,ɐbsɔntmɛndən
32,absolute,8,7,absulate,8,,æbsəluːt,ɐbsjʊleɪt
33,absolutely,10,10,ablocurnmy,10,,æbsəluːtli,ɐblɑːkɜːnmi
34,absorb,6,6,aypent,5,,ɐbsɔːɹb,aɪpənt
35,abstain,7,6,agstorn,7,,ɐbsteɪn,æɡstɔːɹn
36,abstract,8,8,adstrome,7,,æbstɹækt,ɐdstɹoʊm
37,abstracts,9,9,adstroles,8,,ɐbstɹækts,ɐdstɹoʊlz
38,absurd,6,6,adsord,6,,ɐbsɜːd,ɐdsɔːɹd
39,abundant,8,8,abindart,8,,ɐbʌndənt,æbaɪndɑːɹt
40,abuse,5,5,amose,4,,ɐbjuːs,æmoʊs
41,academic,8,8,acugapid,8,,ækədɛmɪk,ɐkjuːɡɐpɪd
42,academy,7,7,ametegy,7,,ɐkædəmi,æmɪɾədʒi
43,accelerate,10,9,acmilerase,9,,ɐksɛlɚɹeɪt,ɐkmaɪlɚɹeɪz
44,accent,6,6,aurent,5,,æksənt,ɔːɹənt
45,accept,6,6,accube,5,,ɐksɛpt,ɐkjuːb
46,acceptance,10,9,acciptarce,8,,ɐksɛptəns,ɐkɪptɑːɹs
47,access,6,5,addess,4,,æksɛs,ædɛs
48,accessible,10,9,acmossibly,9,,æksɛsəbəl,ɐkmɔsᵻbli
49,accessory,9,8,acmissony,8,,ɐksɛsɚɹi,ɐkmɪsəni
50,accident,8,8,accodert,7,,æksɪdənt,ɐkoʊdɜːt
51,accidental,10,9,acnidencal,11,,æksɪdɛntəl,ɐknaɪdəŋkəl
52,acclamation,11,9,acbranative,10,,ɐklɐmeɪʃən,ɐkbɹænətɪv
53,accommodate,11,8,accorlomate,9,,ɐkɑːmədeɪt,ɐkɔːɹləmeɪt
54,accommodation,13,10,accomrogation,11,,ɐkɑːmədeɪʃən,ɐkɑːmɹəɡeɪʃən
55,accompaniment,13,12,accombarimics,12,,ɐkʌmpɐnɪmənt,ɐkɑːmbɑːɹɹɪmɪks
56,accomplice,10,8,accorplace,8,,ɐkɑːmplɪs,ɐkɔːɹpleɪs
57,accomplish,10,8,accorplush,8,,ɐkɑːmplɪʃ,ɐkɔːɹplʌʃ
58,accord,6,5,audord,5,,ɐkɔːɹd,ɔːdɔːɹd
59,accordance,10,7,accardarce,8,,ɐkɔːɹdəns,ɐkɑːɹdɑːɹs
60,accordion,9,8,accurrian,7,,ɐkɔːɹdiən,ɐkɜːɹiən
61,account,7,5,aybount,5,,ɐkaʊnt,aɪbaʊnt
62,accountant,10,8,accourtent,8,,ɐkaʊntənt,ɐkɜːtənt
63,accumulate,10,10,acmacunate,10,,ɐkjuːmjʊleɪt,ɐkmækəneɪt
64,accuracy,8,8,actunary,9,,ækjʊɹəsi,æktuːnɛɹi
65,accurate,8,7,accorale,6,,ækjʊɹət,ɐkɔːɹeɪl
66,accursed,8,7,accarsed,6,,ɐkɜːsᵻd,ɐkɑːɹst
67,accusation,10,9,acrabative,9,,ækjuːzeɪʃən,ɐkɹæbətɪv
68,accuse,6,5,absuse,6,,ɐkjuːz,ɐbsuːs
69,accuser,7,7,accaser,6,,ɐkjuːzɚ,ɐkeɪsɚ
70,accustom,8,7,accastim,7,,ɐkʌstəm,ɐkæstɪm
71,ace,3,2,ose,2,,eɪs,oʊs
72,ache,4,2,arve,3,,eɪk,ɑːɹv
73,achieve,7,4,acleave,5,,ɐtʃiːv,ɐkliːv
74,acid,4,4,afin,4,,æsɪd,ɐfɪn
75,acidic,6,6,acudin,6,,ɐsɪdɪk,ɐkjuːdɪn
76,acknowledge,11,7,acknouladge,7,,ɐknɑːlɪdʒ,ɐknuːlædʒ
77,acne,4,4,adme,4,,ækni,ɐdmɛ
78,acorn,5,5,acarn,5,,eɪkɔːɹn,ɐkɑːɹn
79,acoustic,8,7,acrastin,8,,ɐkuːstɪk,ɐkɹæstɪn
80,acquaint,8,6,abquotch,6,,ɐkweɪnt,ɐbkwɑːtʃ
81,acquire,7,6,adtrite,6,,ɐkwaɪɚ,ɐdtɹaɪt
82,acquisition,11,9,actriditive,10,,ɐkwɪsɪʃən,æktɹɪdᵻtɪv
83,acre,4,4,asco,4,,eɪkɚ,ɐskoʊ
84,acrobat,7,7,acrubit,7,,ækɹəbæt,ɐkɹuːbɪt
85,acrobatic,9,9,acribanic,9,,ækɹəbæɾɪk,ækɹɪbænɪk
86,acrobatics,10,10,acribanive,9,,ækɹəbæɾɪks,ækɹɪbænaɪv
87,across,6,5,afliss,5,,əkɹɑːs,ɐflɪs
88,acrylic,7,7,acrolin,7,,ɐkɹɪlɪk,ækɹəlɪn
89,act,3,3,arf,3,,ækt,ɑːɹf
90,action,6,5,abcoon,5,,ækʃən,ɐbkuːn
91,activate,8,7,actovale,7,,æktᵻveɪt,æktuːveɪl
