,Unnamed: 0,word_us,word_length,n_phon,nonword,n_phon_nw,ipa_words,ipa_nonwords,ipa_words_shuffle_0,ipa_nonwords_shuffle_0,ipa_words_shuffle_1,ipa_nonwords_shuffle_1,ipa_words_shuffle_2,ipa_nonwords_shuffle_2,ipa_words_shuffle_3,ipa_nonwords_shuffle_3,ipa_words_shuffle_4,ipa_nonwords_shuffle_4
0,0,abacus,6,6,aborus,6,æbækəs,ɐbɔːɹəs,bækæəs,sbːɔɐəɹ,sææbkə,sbəːɔɐɹ,ææskbə,ɹsɐəɔbː,ksəææb,ɐɹsːɔəb,æbksəæ,ɹɐsəbɔː
1,1,abalone,7,7,abolana,7,ɐbæloʊn,ɐbəlɑːnə,lɐʊæbon,bɑlnːəəɐ,ɐbolæʊn,əɐəbnɑlː,ʊoɐnæbl,əːbɐəlnɑ,boɐʊlnæ,ɑlnəbːɐə,ælʊbnoɐ,nbɐəəːlɑ
2,2,abandon,7,7,abondin,7,ɐbændən,ɐbɑːndɪn,ænbədnɐ,nbdɑːnɐɪ,dænnəbɐ,ɐɪɑdnbːn,nnæədɐb,dːɑnbɪɐn,ənbɐædn,dːɐnbnɪɑ,nnædbɐə,nːɑɪbndɐ
3,3,abbreviate,10,8,abtrofiase,9,ɐbɹiːvɪeɪt,ɐbtɹoʊfɪeɪs,ːɹɪɪvtbeiɐ,ʊɐbsɹɪɪfeot,tiɹbɪeɐɪvː,ɪsbɪfoɐʊteɹ,vbɹitɪːɪeɐ,ɹɪɐoʊseɪfbt,ːeɪiɹbtɐɪv,bɹeɪsɐftoɪʊ,tvɪɪiɐbeɹː,tfoʊeɪɹɐsbɪ
4,4,abbreviation,12,10,abbreriotion,10,ɐbɹiːvɪeɪʃən,æbɹɪɹioʊʃən,ːɐbʃɪəɹenviɪ,onʃiəɹɪæbɹʊ,bɪnɹʃeəɪvːiɐ,onbɪɹʃiɹʊæə,nʃveiəɪbɪːɹɐ,ɪænoiəʃʊɹɹb,ɐːʃvɪinebɹɪə,oʃɪəʊɹnɹiæb,ɹbiʃvəɪeɐːnɪ,ʊbɪɹʃɹəoniæ
5,5,abdomen,7,7,abdumin,7,æbdəmən,æbdʒuːmɪn,næədməb,ʒæuːmndbɪ,əæmnbdə,ɪæbdmʒunː,dəməæbn,æmduːʒbnɪ,əbædmən,ubːnʒdæmɪ,ndəbəmæ,æɪmunbdʒː
6,6,abdominal,9,9,abfeminar,9,æbdɑːmɪnəl,ɐbfɛmɪnɑːɹ,əæːɪbnmdɑl,ɪɐɛɑːnfɹbm,dənbɑæɪlmː,ɑmɹːɪfɛɐbn,ɑbɪəldːæmn,ɹːɐɪnbfɑmɛ,ædnmɪlbːəɑ,ɪfɹbnːɑɛmɐ,ːmædɪbnlɑə,ɛnɐːmɹbɑɪf
7,7,abduct,6,6,abvict,6,ɐbdʌkt,ɐbvɪkt,dtʌkɐb,tkbɪvɐ,ɐdʌktb,ɪtɐbvk,ʌɐbdkt,tkɪvbɐ,kɐdbtʌ,ɐkɪvbt,ʌdkbɐt,tbɐɪvk
8,8,abide,5,4,asade,4,ɐbaɪd,ɐseɪd,bɐdaɪ,dɐɪse,daɐbɪ,eɐdɪs,aɐbɪd,edsɪɐ,bdaɐɪ,ɪdsɐe,dɪbɐa,seɪdɐ
9,9,ability,7,7,amoriny,7,ɐbɪləɾi,æmɔːɹɪni,bɪləɐiɾ,ɪnɔɹːmiæ,ɐɾɪbəli,ɪnːæɹɔmi,lɪəɾbɐi,ɹinæɔmːɪ,blɾɪɐəi,ɹːɪɔmiæn,ɪilbɾɐə,næɹiɪmɔː
10,10,ablaze,6,5,abloit,5,ɐbleɪz,ɐblɔɪt,zɐeɪlb,ɐtɔlbɪ,ɪzlebɐ,ɐɔtɪbl,zelbɐɪ,ɔtbɐlɪ,bɪzleɐ,bɔɪtɐl,ɪɐlbze,ɔbtɪɐl
11,11,able,4,4,abro,4,eɪbəl,ɐbɹoʊ,blɪəe,ʊɐɹob,əbleɪ,oʊbɐɹ,lɪbeə,ɐʊbɹo,bɪəel,boʊɹɐ,əlɪbe,ɹɐobʊ
12,12,abnormal,8,8,abnardal,8,ɐbnɔːɹməl,ɐbnɑːɹdəl,nbɔːmɹəɐl,dɐnəbɹɑːl,ɐnɔbəɹːml,dːɐlɹbɑnə,nɐlɔɹbmːə,ːdɑlnɐbɹə,əlɐnːɔmbɹ,ɑbɹɐːndəl,ɹbːnɐəmlɔ,bləɑdɐːɹn
13,13,abnormality,11,11,abnorcaloty,10,ɐbnɔːɹmælᵻɾi,ɐbnɔːɹkɐlɑːɾi,ːᵻɐɾnɹbmæiɔl,ɐnɹɐɑɔːbkɾilː,ɐɾᵻɹɔlæbmniː,ːɾɐbɐkɑnlːɔɹi,æːbɾɐᵻnɔɹmil,lɾɔːːnɐɑɐkiɹb,ɾæɔlnːimbɐɹᵻ,kɐːlɹiɾɑɐɔnːb,ːɔæbmiɾɹᵻɐln,ɐklɹːbːiɔɾnɐɑ
14,14,abnormally,10,9,abtongally,9,ɐbnɔːɹməli,ɐbtɑːŋɡəli,iɐɹlɔnbməː,ɑɡitɐːəŋlb,bːmɐɔɹniəl,tbiɡːŋɐɑlə,bɹiəɐnɔlːm,ŋɡɑiɐbːlət,iɹbɐəmɔnlː,ɐiŋəlːɡtbɑ,ɐniːɹmɔəbl,ɡŋbtːiəɑɐl
15,15,aboard,6,5,abouse,4,ɐbɔːɹd,ɐbaʊs,ːɹɔbdɐ,bʊsaɐ,ɔːɹdbɐ,ɐsʊba,bdɔɹɐː,ɐaʊsb,ɐːɔdbɹ,asʊbɐ,dɐbːɔɹ,ɐʊsba
16,16,abolish,7,6,abilish,6,ɐbɑːlɪʃ,æbɪlɪʃ,ʃɐɪɑːbl,æɪbʃɪl,bʃɐɑːlɪ,æʃbɪɪl,ʃbɑlːɪɐ,ɪʃæblɪ,lʃbɑɐɪː,ʃɪæblɪ,ɐbːlʃɑɪ,bɪlæʃɪ
17,17,abolition,9,8,aburitive,8,æbəlɪʃən,ɐbɛɹᵻtɪv,æəlnɪbʃə,ɪvɐtɛɹbᵻ,lɪəənbæʃ,tɹᵻɪɛbvɐ,ɪʃbəælnə,ɪbɛɹɐtvᵻ,lʃnəəæɪb,ɐvɛtᵻbɹɪ,ʃɪəæbnəl,vɹbɛɪᵻtɐ
18,18,abolitionist,12,11,abofitialist,12,æbəlɪʃənɪst,ɐbɑːfɪʃəlɪst,sbətɪlnəæʃɪ,ɪsbʃləɑɪtːfɐ,æsɪnɪʃələbt,tflɪəsʃɑɐːbɪ,əɪnʃlbætsəɪ,ɐɪɪbəʃːtlfɑs,əlʃɪnəɪstæb,ɐːbtʃɪlfɑɪsə,ɪsəbəɪtænlʃ,tɪsɑʃːɐblɪəf
19,19,abominable,10,10,abomogable,10,ɐbɑːmɪnəbəl,ɐbɑːmoʊdʒəbəl,ɑɪlmɐbːnəəb,məbɑʊoɐʒdləbː,bəɪɑbɐəːlnm,boəbəlːdʊɐɑmʒ,ɑːbbnɪəɐməl,ʒbɑːəlɐʊməobd,ɑəbːmɐɪnləb,blʊmɑɐːʒoədbə,mbɐnəəːlbɑɪ,ʊbməəːdɐloɑʒb
20,20,abortion,8,7,aburtive,7,ɐbɔːɹʃən,ɐbɜːɾɪv,ɔʃɹɐənbː,ːɾbɜɪɐv,bɔʃɹɐːən,ɜbɾɐːvɪ,ɔəɐɹbnʃː,ɜɪɾɐbvː,ɔbːəɹɐnʃ,ɾbɪvːɐɜ,əʃːɹbɔnɐ,ɾɜːɐvɪb
21,21,abound,6,5,abeash,4,ɐbaʊnd,ɐbiːʃ,danbɐʊ,ɐːbʃi,daɐbnʊ,ʃiɐbː,dɐʊbna,ɐʃiːb,ɐʊdbna,bːɐiʃ,bʊɐnda,ibʃɐː
22,22,about,5,4,apoot,4,ɐbaʊt,ɐpuːt,ɐʊtab,tɐpuː,baʊɐt,ːpɐtu,ɐbtaʊ,ptuɐː,atʊbɐ,tːɐpu,taʊɐb,upɐtː
23,23,above,5,4,abert,5,əbʌv,ɐbɜːt,əʌbv,tːɜbɐ,əʌvb,ɜtɐbː,bʌvə,tbɜːɐ,bvʌə,bɜːɐt,əʌvb,btɐɜː
24,24,abrasive,8,7,abrosave,7,ɐbɹeɪsɪv,ɐbɹɑːseɪv,sɪɐɪeɹvb,ɹɪɐvesːbɑ,ɪɪebsɐvɹ,vbːɪɑɐɹse,sɪɐɹebɪv,ɪɑvɐbɹːes,bɐvɪɪesɹ,ːeɑɪvɐbɹs,ebɐsɪɹɪv,vsɪːɑɹɐbe
25,25,abreast,7,6,abrouts,6,ɐbɹɛst,ɐbɹaʊts,sɛɹtɐb,asʊɐbtɹ,sɛɐbɹt,sabtʊɐɹ,sɹtɐbɛ,ɐtɹbʊas,bɹsɛtɐ,taʊsɹbɐ,sɐɛbɹt,ɹʊtsbaɐ
26,26,abroad,6,5,atroud,5,ɐbɹɔːd,ætɹaʊd,ɹɐɔbːd,tʊæadɹ,ːɹɔdbɐ,aʊædtɹ,ɹɔbdɐː,adɹætʊ,ːɔdɐɹb,dtaʊɹæ,ɹɔdɐːb,æʊɹatd
27,27,abrupt,6,6,abript,6,ɐbɹʌpt,ɐbɹɪpt,ɐbɹptʌ,ptɪɐɹb,ɹbʌɐpt,bɹɐɪtp,ʌbɹɐtp,ɪɹpɐbt,tʌbɹpɐ,bɐpɹɪt,ʌɐtɹbp,ɐtɹpɪb
28,28,absence,7,6,agbonce,6,æbsəns,æɡbɑːns,snəsbæ,nbɡsɑæː,æssəbn,ːæsɑɡbn,æsnsəb,næɡbsɑː,bssnəæ,ːnsɡæbɑ,bæssən,ɑsbæːɡn
29,29,absent,6,6,agbent,6,æbsənt,æɡbənt,stəænb,ɡnəætb,təsbnæ,btəænɡ,ntbæsə,æɡtəbn,stəbæn,nbɡæət,nəsæbt,ətæbnɡ
30,30,absentee,8,7,absintoo,7,æbsəntiː,ɐbsɪntuː,æːtəisbn,ɐunbsːɪt,əbætinːs,uɪːtnbɐs,btːnisæə,ɪsbːɐutn,tbəæːisn,nbːtɪsuɐ,ːətiæsbn,nbɐɪːtsu
